Station,Lon,Lat,yrange,fend
"CA-Gro",-82.1556,48.2167,"2003-2014"
"CA-Man",-98.4808,55.8796,"1994-2008"
"CA-Oas",-106.1978,53.6358,"1996-2010"
"CA-Obs",-105.1178,53.9871,"1997-2010"
"CA-TP4",-80.3574,42.7101,"2002-2014"
"RU-Cok",147.4943,70.8291,"2003-2014","2-4"
"RU-Fyo",32.9221,56.45153,"1998-2014","2-4"
"US-ARM",-97.488, 36.6058," "," "
"US-Los",-89.9792,46.0827," "," "
"US-MMS",-86.4131,39.3232," "," "
"US-Me2",-121.5574,44.4523," "," "
"US-NR1",-105.5464,40.0329," "," "
"US-Ne2",-96.47664,41.16506," "," "
"US-Ne3",-96.43965,41.17967," "," "
"US-Oho",-83.8438,41.5545," "," "
"US-SRM",-110.8661,31.8214," "," "
"US-Syv",-89.3477,46.242," "," "
"US-UMB",-84.7138,45.5598," "," "
"US-Var",-120.9507,38.4133," "," "
"US-WCr",-90.0799,45.0859," "," "
"US-Wkg",-109.9419,31.7365," "," "
